Level,ExpToNextLevel,GoodReward1,GoodAmount1,GoodReward2,GoodAmount2,GoodReward3,GoodAmount3,ThresholdRewardSet1,ThresholdRewardSet2,ThresholdRewardSet3,ThresholdRewardSet4,ThresholdRewardSet5,MaxFields,MaxEvents,CaretakerStorageCapacity,MillerStorageCapacity,MaxCatAmount,MaxCatHouseAmount,MaxDogAmount,MaxDogHouseAmount,MaxHorseAmount,MaxHorseHouseAmount,MaxDonkeyAmount,MaxDonkeyHouseAmount,MaxBunnyAmount,MaxBunnyHouseAmount,MaxKittenAmount,MaxKittenHouseAmount,MaxPuppyAmount,MaxPuppyHouseAmount,MaxGuineaPigAmount,MaxGuineaPigHouseAmount,MaxBirdAmount,MaxBirdHouseAmount,MaxChickenHabitats,MaxCowHabitats,MaxSheepHabitats,MaxPigHabitats,MaxGoatHabitats,MaxHammermills,MaxSugarMills,MaxSmelters,MaxBeeHabitats,MaxSquirrelHabitats,MinGoodsInOrderDelivery,MaxGoodsInOrderDelivery,OrderCancelTimeMin,OrderSpeedUpPrice,BoatOrderSpeedUpPrice,MaxOrderCount,CashExpMultiplier,EventCounterClicks,OrderMinValue,OrderMaxValue,DiamondsToCoinsRate,GuestOrderValue,MinCrateAmountInBoatOrder,MaxCrateAmountInBoatOrder,MinBoatOrderValue,MaxBoatOrderValue,MinGoodTypesInBoatOrder,MaxGoodTypesInBoatOrder,MinBoatStayTimeMinutes,MaxBoatStayTimeMinutes,BoatETAMinutes,BoatRewardMultiplier,SpecialOrderProbablity,SpecialOrderMaxCount,FeatureTID,FeaturePNGURL
76,443000,FreeDiamonds,10,,,,,RewardSetML9,RewardSetML4,RewardSetML7,RewardSetML6,,104,416,70,70,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,75,73,144,18408,96,6,12,420,495,3,3,720,1080,240,1000,10,3,,
77,454000,FreeDiamonds,10,,,,,RewardSetML4,RewardSetML11,RewardSetML9,RewardSetML2,,106,424,70,70,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,76,75,148,18942,97,6,12,430,500,3,3,720,1080,240,1000,10,3,,
78,465000,FreeDiamonds,10,Ginger,3,,,RewardSetML6,RewardSetML5,RewardSetML2,RewardSetML9,,106,424,70,70,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,76,78,153,19485,98,6,12,440,510,3,3,720,1080,240,1000,10,3,,
79,476000,FreeDiamonds,10,,,,,RewardSetML5,RewardSetML9,RewardSetML3,RewardSetML4,,108,432,70,70,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,76,80,158,20036,99,6,12,445,520,3,3,720,1080,240,1000,10,3,,
80,487000,FreeDiamonds,10,TeaLeaves,3,,,RewardSetML10,RewardSetML9,RewardSetML4,RewardSetML8,,108,432,80,80,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,76,82,163,20597,100,6,12,455,525,3,3,720,1080,240,1000,10,3,,
81,498000,FreeDiamonds,10,,,,,RewardSetML3,RewardSetML10,RewardSetML8,RewardSetML2,,110,440,80,80,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,76,85,168,21166,101,6,12,460,535,3,3,720,1080,240,1000,10,3,,
82,509000,FreeDiamonds,10,Peony,3,,,RewardSetML6,RewardSetML8,RewardSetML5,RewardSetML9,,110,440,80,80,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,76,87,172,21745,102,6,12,470,545,3,3,720,1080,240,1000,10,3,,
83,520000,FreeDiamonds,10,Broccoli,3,,,RewardSetML4,RewardSetML11,RewardSetML6,RewardSetML9,,112,448,80,80,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,76,89,177,22332,103,6,12,475,550,3,3,720,1080,240,1000,10,3,,
84,531000,FreeDiamonds,10,Grapes,3,,,RewardSetML7,RewardSetML9,RewardSetML10,RewardSetML12,,112,448,80,80,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,76,92,182,22928,104,6,12,485,560,3,3,720,1080,240,1000,10,3,,
85,542000,FreeDiamonds,10,Mint,3,,,RewardSetML8,RewardSetML2,RewardSetML9,RewardSetML7,RewardSetML10,114,456,80,80,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,76,94,187,23533,105,6,12,490,570,3,3,720,1080,240,1000,10,3,,
86,553000,FreeDiamonds,10,,,,,RewardSetML10,RewardSetML4,RewardSetML3,RewardSetML6,RewardSetML9,114,456,80,80,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,76,97,192,24148,106,6,12,500,575,3,3,720,1080,240,1000,10,3,,
87,564000,FreeDiamonds,10,,,,,RewardSetML11,RewardSetML5,RewardSetML4,RewardSetML8,RewardSetML12,116,464,80,80,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,76,99,197,24771,107,6,12,505,585,3,3,720,1080,240,1000,10,3,,
88,575000,FreeDiamonds,10,PassionFruit,3,,,RewardSetML8,RewardSetML3,RewardSetML10,RewardSetML9,RewardSetML2,116,464,80,80,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,76,101,202,25404,108,6,12,515,590,3,3,720,1080,240,1000,10,3,,
89,586000,FreeDiamonds,10,Mushroom,3,,,RewardSetML6,RewardSetML4,RewardSetML9,RewardSetML12,RewardSetML10,118,472,80,80,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,76,104,206,26045,109,6,12,520,600,3,3,720,1080,240,1000,10,3,,
90,597000,FreeDiamonds,10,Eggplant,3,,,RewardSetML9,RewardSetML5,RewardSetML11,RewardSetML10,RewardSetML7,118,472,90,90,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,76,106,211,26696,110,6,12,530,605,3,3,720,1080,240,1000,10,3,,
91,608000,FreeDiamonds,10,,,,,RewardSetML11,RewardSetML2,RewardSetML3,RewardSetML4,RewardSetML5,120,480,90,90,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,76,108,216,27356,111,6,12,535,615,3,3,720,1080,240,1000,10,3,,
92,619000,FreeDiamonds,10,Watermelon,3,,,RewardSetML6,RewardSetML7,RewardSetML8,RewardSetML9,RewardSetML10,120,480,90,90,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,76,111,221,28025,112,6,12,545,620,3,3,720,1080,240,1000,10,3,,
93,630000,FreeDiamonds,10,,,,,RewardSetML11,RewardSetML3,RewardSetML5,RewardSetML7,RewardSetML9,122,488,90,90,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,76,113,226,28703,113,6,12,550,630,3,3,720,1080,240,1000,10,3,,
94,641000,FreeDiamonds,10,Clay,3,,,RewardSetML10,RewardSetML8,RewardSetML6,RewardSetML4,RewardSetML2,122,488,90,90,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,76,115,231,29391,114,6,12,555,635,3,3,720,1080,240,1000,10,3,,
95,652000,FreeDiamonds,10,Chickpea,3,,,RewardSetML11,RewardSetML2,RewardSetML3,RewardSetML4,RewardSetML5,124,496,90,90,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,76,118,235,30088,115,6,12,565,645,3,3,720,1080,240,1000,10,3,,
96,663000,FreeDiamonds,10,,,,,RewardSetML6,RewardSetML7,RewardSetML8,RewardSetML9,RewardSetML10,124,496,90,90,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,76,120,240,30794,116,6,12,570,650,3,3,720,1080,240,1000,10,3,,
97,674000,FreeDiamonds,10,,,,,RewardSetML11,RewardSetML3,RewardSetML5,RewardSetML7,RewardSetML9,126,504,90,90,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,76,122,245,31509,117,6,12,575,660,3,3,720,1080,240,1000,10,3,,
98,685000,FreeDiamonds,10,,,,,RewardSetML10,RewardSetML8,RewardSetML6,RewardSetML4,RewardSetML2,126,504,90,90,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,76,125,249,32234,118,6,12,585,665,3,3,720,1080,240,1000,10,3,,
99,696000,FreeDiamonds,10,,,,,RewardSetML12,RewardSetML2,RewardSetML3,RewardSetML4,RewardSetML5,128,512,90,90,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,76,127,254,32968,119,6,12,590,670,3,3,720,1080,240,1000,10,3,,
100,707000,FreeDiamonds,50,,,,,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,128,512,100,100,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,76,129,258,33712,120,6,12,595,680,3,3,720,1080,240,1000,10,3,,
101,718000,FreeDiamonds,12,,,,,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,129,516,100,100,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,76,131,263,33832,120,6,12,600,685,3,3,720,1080,240,1000,10,3,,
102,729000,FreeDiamonds,12,,,,,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,129,516,100,100,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,77,133,267,33952,121,6,12,610,690,3,3,720,1080,240,1000,10,3,,
103,740000,FreeDiamonds,12,,,,,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,130,520,100,100,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,77,136,272,34073,121,6,12,615,700,3,3,720,1080,240,1000,10,3,,
104,751000,FreeDiamonds,12,,,,,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,130,520,100,100,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,77,138,276,34194,121,6,12,620,705,3,3,720,1080,240,1000,10,3,,
105,762000,FreeDiamonds,12,,,,,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,131,524,100,100,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,77,140,280,34315,121,6,12,625,710,3,3,720,1080,240,1000,10,3,,
106,773000,FreeDiamonds,12,,,,,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,131,524,100,100,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,77,142,285,34436,122,6,12,630,715,3,3,720,1080,240,1000,10,3,,
107,784000,FreeDiamonds,12,,,,,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,132,528,100,100,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,77,144,289,34558,122,6,12,635,720,3,3,720,1080,240,1000,10,3,,
108,795000,FreeDiamonds,12,,,,,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,132,528,100,100,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,77,146,293,34680,122,6,12,640,730,3,3,720,1080,240,1000,10,3,,
109,806000,FreeDiamonds,12,,,,,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,133,532,100,100,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,77,148,297,34802,122,6,12,645,735,3,3,720,1080,240,1000,10,3,,
110,817000,FreeDiamonds,12,,,,,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,133,532,100,100,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,77,150,301,34924,123,6,12,650,740,3,3,720,1080,240,1000,10,3,,
111,828000,FreeDiamonds,12,,,,,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,134,536,100,100,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,77,152,305,35047,123,6,12,660,745,3,3,720,1080,240,1000,10,3,,
112,839000,FreeDiamonds,12,,,,,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,134,536,100,100,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,77,154,309,35170,123,6,12,665,750,3,3,720,1080,240,1000,10,3,,
113,850000,FreeDiamonds,12,,,,,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,135,540,100,100,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,77,156,313,35293,123,6,12,670,755,3,3,720,1080,240,1000,10,3,,
114,861000,FreeDiamonds,12,,,,,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,135,540,100,100,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,77,158,317,35416,124,6,12,670,760,3,3,720,1080,240,1000,10,3,,
115,872000,FreeDiamonds,12,,,,,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,136,544,100,100,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,77,159,320,35540,124,6,12,675,765,3,3,720,1080,240,1000,10,3,,
116,883000,FreeDiamonds,12,,,,,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,136,544,100,100,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,77,161,324,35664,124,6,12,680,770,3,3,720,1080,240,1000,10,3,,
117,894000,FreeDiamonds,12,,,,,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,137,548,100,100,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,77,163,328,35788,124,6,12,685,775,3,3,720,1080,240,1000,10,3,,
118,905000,FreeDiamonds,12,,,,,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,137,548,100,100,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,77,165,331,35912,125,6,12,690,780,3,3,720,1080,240,1000,10,3,,
119,916000,FreeDiamonds,12,Oats,3,,,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,138,552,100,100,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,77,166,335,36037,125,6,12,695,785,3,3,720,1080,240,1000,10,3,,
120,927000,FreeDiamonds,12,,,,,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,138,552,120,120,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,77,168,338,36162,125,6,12,700,790,3,3,720,1080,240,1000,10,3,,
121,938000,FreeDiamonds,12,,,,,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,139,556,120,120,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,77,170,341,36287,125,6,12,705,795,3,3,720,1080,240,1000,10,3,,
122,949000,FreeDiamonds,12,,,,,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,139,556,120,120,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,77,171,345,36412,126,6,12,710,800,3,3,720,1080,240,1000,10,3,,
123,960000,FreeDiamonds,12,,,,,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,140,560,120,120,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,77,173,348,36538,126,6,12,710,800,3,3,720,1080,240,1000,10,3,,
124,971000,FreeDiamonds,12,,,,,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,140,560,120,120,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,77,174,351,36664,126,6,12,715,805,3,3,720,1080,240,1000,10,3,,
125,982000,FreeDiamonds,12,,,,,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,141,564,120,120,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,77,176,354,36790,126,6,12,720,810,3,3,720,1080,240,1000,10,3,,
126,993000,FreeDiamonds,12,,,,,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,141,564,120,120,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,77,177,357,36916,127,6,12,725,815,3,3,720,1080,240,1000,10,3,,
127,1004000,FreeDiamonds,12,,,,,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,142,568,120,120,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,77,179,360,37043,127,6,12,725,820,3,3,720,1080,240,1000,10,3,,
128,1015000,FreeDiamonds,12,,,,,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,142,568,120,120,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,78,180,363,37170,127,6,12,730,820,3,3,720,1080,240,1000,10,3,,
129,1026000,FreeDiamonds,12,,,,,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,143,572,120,120,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,78,182,366,37297,127,6,12,735,825,3,3,720,1080,240,1000,10,3,,
130,1037000,FreeDiamonds,12,,,,,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,143,572,120,120,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,78,183,369,37424,128,6,12,735,830,3,3,720,1080,240,1000,10,3,,
131,1048000,FreeDiamonds,12,,,,,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,144,576,120,120,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,78,184,371,37552,128,6,12,740,830,3,3,720,1080,240,1000,10,3,,
132,1059000,FreeDiamonds,12,,,,,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,144,576,120,120,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,78,186,374,37680,128,6,12,745,835,3,3,720,1080,240,1000,10,3,,
133,1070000,FreeDiamonds,12,,,,,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,145,580,120,120,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,78,187,377,37808,128,6,12,745,840,3,3,720,1080,240,1000,10,3,,
134,1081000,FreeDiamonds,12,,,,,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,145,580,120,120,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,78,188,379,37936,129,6,12,750,845,3,3,720,1080,240,1000,10,3,,
135,1092000,FreeDiamonds,12,,,,,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,146,584,120,120,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,78,189,382,38065,129,6,12,755,845,3,3,720,1080,240,1000,10,3,,
136,1103000,FreeDiamonds,12,,,,,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,146,584,120,120,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,78,191,384,38194,129,6,12,755,850,3,3,720,1080,240,1000,10,3,,
137,1114000,FreeDiamonds,12,,,,,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,147,588,120,120,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,78,192,387,38323,129,6,12,760,850,3,3,720,1080,240,1000,10,3,,
138,1125000,FreeDiamonds,12,,,,,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,147,588,120,120,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,78,193,389,38452,130,6,12,760,855,3,3,720,1080,240,1000,10,3,,
139,1136000,FreeDiamonds,12,,,,,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,148,592,120,120,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,78,194,391,38582,130,6,12,765,860,3,3,720,1080,240,1000,10,3,,
140,1147000,FreeDiamonds,12,,,,,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,148,592,140,140,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,78,195,393,38712,130,6,12,765,860,3,3,720,1080,240,1000,10,3,,
141,1158000,FreeDiamonds,12,,,,,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,149,596,140,140,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,78,196,396,38842,130,6,12,770,865,3,3,720,1080,240,1000,10,3,,
142,1169000,FreeDiamonds,12,,,,,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,149,596,140,140,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,78,197,398,38972,131,6,12,770,865,3,3,720,1080,240,1000,10,3,,
143,1180000,FreeDiamonds,12,,,,,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,150,600,140,140,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,78,198,400,39103,131,6,12,775,870,3,3,720,1080,240,1000,10,3,,
144,1191000,FreeDiamonds,12,,,,,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,150,600,140,140,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,78,199,402,39234,131,6,12,775,870,3,3,720,1080,240,1000,10,3,,
145,1202000,FreeDiamonds,12,,,,,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,151,604,140,140,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,78,200,404,39365,131,6,12,780,875,3,3,720,1080,240,1000,10,3,,
146,1213000,FreeDiamonds,12,,,,,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,151,604,140,140,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,78,201,406,39496,132,6,12,780,875,3,3,720,1080,240,1000,10,3,,
147,1224000,FreeDiamonds,12,,,,,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,152,608,140,140,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,78,202,408,39628,132,6,12,785,880,3,3,720,1080,240,1000,10,3,,
148,1235000,FreeDiamonds,12,,,,,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,152,608,140,140,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,78,203,409,39760,132,6,12,785,880,3,3,720,1080,240,1000,10,3,,
149,1246000,FreeDiamonds,12,,,,,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,153,612,140,140,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,78,204,411,39892,132,6,12,785,885,3,3,720,1080,240,1000,10,3,,
